,GEOGRAPHYCODE,NoOfPpl,Area_hect,Density_ppl_hect,RoomsPerHouse,BedroomsPerHouse,PcNoCentralHeat,NoOfDwells,PcDetached,PcSemiD,PcTerraced,PcFlatpurposebuilt,PcFlatofHse,PcFlatCommercial,PcMobile,Latitude,Longitude,Deprivation,Price,Count,beach,park,sports,marina,supermarket,foodstore,restaurant,takeaway,bar,nightclub,school,university,shoppincentre,pawnshop,betting,postoffice,doctor,hospital,transport,religion,hotel,waste,office,industry
827,W00005014,306,306,2.47,5.037878788,2.621212121,3.787878788,139,4.316546763,10.07194245,82.73381295,0.71942446,2.158273381,0.0,0.0,51.6541918,-3.8031672,328.0,76364.58333333333,24,6179,1,3,6563,635,0,7,5,5,0,894,737,5685,0,2,889,701,3804,532,1081,0,2407,3,10
828,W00005015,351,351,21.92,5.69047619,2.984126984,0.793650794,128,3.875968992,70.54263566,20.15503876,3.100775194,2.325581395,0.0,0.0,51.65280363636364,-3.8005265454545456,328.0,81276.4705882353,17,6080,1,2,6375,807,0,3,5,4,0,1001,896,5523,0,2,1092,898,3802,726,1258,0,2478,1,10
829,W00005016,366,366,4.37,5.316546763,2.985611511,0.71942446,146,4.794520548,35.61643836,39.7260274,18.49315068,0.684931507,0.0,0.684931507,51.65164428571428,-3.794038142857143,199.0,86228.54166666667,24,6102,0,2,6175,1265,1,2,2,1,0,1166,1164,5401,0,1,1425,1233,3646,1070,1529,0,2764,1,10
830,W00005025,331,331,41.58,5.68627451,2.640522876,1.307189542,166,36.74698795,25.90361446,10.24096386,21.68674699,0.602409639,4.819277108,0.0,51.7200605,-3.8562815000000006,761.0,158345.57142857142,35,8229,0,4,12571,396,1,6,5,6,0,507,506,358,0,0,758,620,6636,5997,1814,2,7587,1,0
831,W00005026,332,332,11.24,6.420289855,3.15942029,0.0,146,45.89041096,31.50684932,21.91780822,0.0,0.684931507,0.0,0.0,51.723119222222216,-3.8536788888888887,761.0,133635.45454545456,55,8582,0,1,12956,569,1,8,6,5,0,811,810,565,0,0,570,599,6985,6232,2199,1,7896,1,0
832,W00005027,402,402,49.45,5.275641026,2.762820513,0.0,165,20.0,52.72727273,24.24242424,1.212121212,0.606060606,1.212121212,0.0,51.73514683333334,-3.830033,744.0,89776.38888888889,36,10691,0,0,14891,2392,0,0,0,0,0,2693,2662,2429,0,0,1830,2117,5729,7113,4231,0,9176,0,0
833,W00005028,407,407,16.41,6.071005917,3.023668639,0.0,186,41.93548387,51.61290323,1.075268817,4.838709677,0.0,0.537634409,0.0,51.72631425,-3.85944375,589.0,162117.56906077347,181,8512,0,1,13117,1060,0,0,0,2,0,1236,1235,1041,0,0,1072,1132,6911,6719,2378,1,8310,0,0
834,W00005029,461,461,7.06,5.893258427,3.151685393,0.0,181,28.72928177,67.9558011,0.0,1.657458564,1.657458564,0.0,0.0,51.725417500000006,-3.85577025,589.0,96020.0,25,8635,0,1,13128,858,0,4,3,4,0,1078,1077,848,0,0,801,884,7035,6524,2368,1,8170,1,0
835,W00005030,309,309,10.46,5.9,2.942857143,1.428571429,147,19.04761905,67.34693878,10.88435374,2.040816327,0.680272109,0.0,0.0,51.72331700000001,-3.85041125,761.0,154783.0,65,8772,0,1,13074,573,0,8,6,6,0,861,860,588,0,0,365,481,7177,6167,2334,1,7890,1,0
836,W00005031,231,231,9.14,4.129496403,1.784172662,2.877697842,164,8.536585366,11.58536585,10.97560976,40.24390244,6.707317073,21.95121951,0.0,51.7200023,-3.853095600000001,761.0,87980.85,20,8400,0,4,12661,232,4,8,6,6,0,465,464,218,0,0,552,401,6810,5898,1925,1,7547,1,0
837,W00005032,360,360,21.2,5.597402597,2.746753247,1.948051948,163,10.42944785,48.46625767,33.12883436,3.067484663,0.0,4.90797546,0.0,51.720435866666655,-3.8482776,761.0,103162.7906976744,43,8696,0,4,12854,328,1,8,6,6,0,628,628,368,0,0,239,128,7110,5814,2168,1,7556,1,0
838,W00005033,221,221,29.53,4.457627119,1.906779661,0.0,129,10.85271318,31.78294574,4.651162791,51.9379845,0.0,0.775193798,0.0,51.7168736,-3.8526314,761.0,101470.58823529413,17,8221,0,6,12364,170,3,6,5,6,0,132,131,145,0,0,733,463,6640,5568,1672,1,7197,1,0
839,W00005035,286,286,24.4,5.842975207,2.892561983,1.652892562,131,38.93129771,45.80152672,10.6870229,0.0,3.053435115,1.526717557,0.0,51.73199960000001,-3.861351,589.0,130161.66666666669,39,8861,0,0,13653,1682,0,0,0,1,0,1878,1831,1669,0,0,1563,1700,7262,7349,2965,0,8956,0,0
840,W00005036,319,319,10.13,5.583941606,2.795620438,0.0,140,35.71428571,33.57142857,30.0,0.714285714,0.0,0.0,0.0,51.72983133333333,-3.8599795,589.0,146322.5806451613,31,8755,0,1,13464,1423,0,0,0,1,0,1620,1619,1410,0,0,1327,1448,7155,7091,2748,0,8702,0,0
841,W00005037,337,337,56.28,6.365853659,3.073170732,0.0,135,55.55555556,36.2962963,2.222222222,3.703703704,2.222222222,0.0,0.0,51.723479588235286,-3.8448992352941183,744.0,144770.2380952381,42,9084,0,0,13262,738,0,8,6,5,0,1040,1039,775,0,0,188,480,7336,6056,2577,1,7876,1,0
842,W00005038,321,321,45.48,6.059701493,2.880597015,0.746268657,148,45.27027027,36.48648649,10.13513514,5.405405405,2.702702703,0.0,0.0,51.729775,-3.8389992,744.0,122259.13725490196,51,9835,0,0,14071,1545,0,0,0,0,0,1848,1814,1579,0,0,994,1286,6585,6626,3377,1,8562,0,0
843,W00005039,297,297,5.28,4.815384615,2.407692308,0.769230769,130,5.384615385,73.84615385,3.076923077,16.92307692,0.769230769,0.0,0.0,51.728963750000005,-3.8579865,589.0,87659.09090909091,22,8787,0,1,13428,1281,0,0,0,0,0,1493,1493,1271,0,0,1161,1290,7186,6947,2689,0,8584,0,0
844,W00005040,263,263,7.59,4.709923664,2.328244275,0.0,135,5.185185185,69.62962963,0.740740741,22.22222222,2.222222222,0.0,0.0,51.7270726,-3.855779,589.0,73636.36363636363,22,8756,0,1,13295,1033,0,2,1,3,0,1261,1260,1026,0,0,907,1030,7155,6693,2538,0,8352,0,0
845,W00005041,307,307,11.78,6.559055118,3.141732283,3.149606299,136,35.29411765,52.94117647,2.941176471,8.823529412,0.0,0.0,0.0,51.72511828571428,-3.847987500000001,744.0,137259.73684210525,95,9027,0,1,13327,804,0,8,6,4,0,1103,1102,827,0,0,397,634,7393,6297,2594,1,8073,1,0
846,W00005042,352,352,3.14,6.125,3.1015625,3.125,131,3.053435115,8.396946565,84.73282443,2.290076336,1.526717557,0.0,0.0,51.59248528571429,-3.776951428571429,281.0,93838.20588235294,34,2192,0,2,602,603,0,8,12,9,1,1445,436,807,1,1,173,592,1827,317,595,1,3766,4,8
847,W00005043,290,290,13.79,4.841726619,2.381294964,5.755395683,199,2.010050251,3.51758794,42.21105528,12.06030151,9.045226131,31.15577889,0.0,51.59338976923073,-3.7804140576923095,281.0,92121.875,40,1991,0,2,390,379,0,8,12,11,1,1190,211,564,1,1,198,346,1568,138,470,2,3901,4,8
848,W00005044,265,265,187.66,6.290598291,3.145299145,1.709401709,127,51.96850394,42.51968504,3.937007874,0.0,0.787401575,0.0,0.787401575,51.59318966666667,-3.7705515,979.0,127717.28260869563,46,2640,2,2,914,826,0,2,2,2,0,1797,793,1148,0,0,616,957,2208,765,670,1,3374,1,8
849,W00005045,311,311,6.51,5.827868852,2.983606557,3.278688525,136,2.941176471,9.558823529,85.29411765,0.0,2.205882353,0.0,0.0,51.59487857142858,-3.7765644285714286,281.0,81350.70175438597,57,2297,0,2,458,473,0,8,12,10,1,1341,349,692,1,1,393,508,1754,443,566,1,3588,4,8
850,W00005046,262,262,28.41,6.040650407,3.048780488,0.0,132,25.75757576,50.75757576,23.48484848,0.0,0.0,0.0,0.0,51.597763375,-3.774312000000001,979.0,110073.82978723403,47,2568,0,2,584,616,0,4,8,7,1,1402,582,803,1,1,693,696,1841,781,677,0,3282,2,9
